epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
63,928.159,0.85685,0.98461,0.98268,0.97491,0.8,0.90611,0.49993,1.486,1.61044,1.19625,0.000977,0.000977,0.000977
64,942.197,0.85382,1.01017,0.91597,0.9738,0.8,0.93786,0.4644,1.63247,1.60359,1.30514,0.0009605,0.0009605,0.0009605
65,956.62,0.82589,0.94396,0.93834,1,0.98945,0.995,0.47739,1.70203,1.47548,1.32908,0.000944,0.000944,0.000944
66,973.964,0.79534,0.92612,0.905,0.98087,1,0.995,0.4754,1.70549,1.27741,1.32346,0.0009275,0.0009275,0.0009275
67,990.424,0.9418,1.15595,0.97739,0.98087,1,0.995,0.4754,1.70549,1.27741,1.32346,0.000911,0.000911,0.000911
68,1005.09,0.84878,0.95313,0.97499,1,0.99957,0.995,0.4956,1.67666,1.22567,1.3349,0.0008945,0.0008945,0.0008945
69,1019.39,0.81479,0.98835,0.96111,1,0.99296,0.995,0.4862,1.66351,1.26147,1.35867,0.000878,0.000878,0.000878
70,1034.45,0.84641,0.9505,0.92996,1,0.99173,0.995,0.48653,1.67474,1.40677,1.3725,0.0008615,0.0008615,0.0008615
71,1049.76,0.99467,0.99492,0.95764,1,0.99173,0.995,0.48653,1.67474,1.40677,1.3725,0.000845,0.000845,0.000845
72,1065.12,0.97778,1.06792,1.02433,1,0.99141,0.995,0.50918,1.70854,1.33242,1.37478,0.0008285,0.0008285,0.0008285
73,1080.53,0.94124,0.96017,0.95638,1,0.99256,0.995,0.52123,1.59297,1.29827,1.31709,0.000812,0.000812,0.000812
74,1096.05,0.81697,0.87782,0.90326,0.99808,1,0.995,0.6332,1.46528,1.15673,1.24701,0.0007955,0.0007955,0.0007955
